29,4,1963,5.8,9.5,0,28.2,21.98,17.6,60.25,3.5333
30,4,1963,5.5,7.4,0,28.4,22.1,17.9,59.5,2.4333
1,5,1963,5.5,NaN,0,NaN,NaN,18.4,NaN,3.5
2,5,1963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,5,1963,NaN,NaN,NaN,29.4,NaN,21.9,NaN,0
4,5,1963,NaN,7.5,0,28.2,22.16,17.4,58.25,3.5
5,5,1963,5,10.6,0,25.6,18.44,13.9,54.75,2.9
6,5,1963,5.9,10.8,0,27.4,20.46,14.4,52.75,4.0333
7,5,1963,5,10.7,0,28,20.24,14.2,52.75,2.9333
8,5,1963,5.5,10.8,0,25,18,11,62.75,4.3333
9,5,1963,4.8,10.8,0,27.4,20.06,13.8,55.25,0.63333
10,5,1963,4.5,10.3,0,26.8,20.82,14.9,44.75,2.2667
11,5,1963,4.7,9.8,0,28.2,20.98,14.5,54.25,1.8
12,5,1963,4.6,11.4,0,25.8,20.5,16.1,58,3.8
13,5,1963,8.1,10.2,0,25.2,20.42,15.7,67.25,2.6
14,5,1963,5,10.4,0,26.4,20.76,15.9,57.75,1.1667
15,5,1963,5,10.4,0,28,21.34,15.9,57.75,1.9333
16,5,1963,5.8,10.3,0,26.8,20.56,14.4,58.25,0.83333
17,5,1963,5.5,4.4,0,24.2,19.58,16.1,71.25,2.4333
18,5,1963,3.7,0,0,20.6,16.68,12.2,76.25,1.1
19,5,1963,2.8,10.5,0,23.2,16.9,13.3,NaN,2
20,5,1963,6,10.2,0,22,16.54,10.5,71,2.3333
21,5,1963,5,10.3,0,23.6,17.18,9.9,63.5,2.1667
22,5,1963,3.5,10.3,0,23.6,17.42,11.5,56.75,3.6667
23,5,1963,5.4,8,0,23.1,16.48,9.5,58.75,3.0333
24,5,1963,5.1,7.3,0,23.4,18.02,15.1,55.25,2.7
25,5,1963,4.8,6,0,24.2,17.3,10.9,53.25,1.6667
26,5,1963,4.2,6.5,0,24.2,18.38,13.7,54.5,1.5
27,5,1963,4.6,5.8,0,25,18.46,12.9,59.75,2.1667
28,5,1963,4.9,5.4,0,25.5,19.16,13.9,61.25,2.8333
29,5,1963,5,NaN,0,NaN,NaN,14.6,NaN,1.25
30,5,1963,4.7,NaN,0,24.2,18.26,14.3,67.75,1.6
31,5,1963,3.3,2.4,0,25.4,18.38,12.9,59.75,0.83333
1,6,1963,5.2,3.8,0,24,18.82,13.7,60.75,1.4
2,6,1963,5,6,0,21.2,16.4,13.4,64.75,0.63333
3,6,1963,5,6,0,21.1,15.66,11,56,2.9333
4,6,1963,6,1.1,0,19.6,14.94,9.9,71.75,2.9333
5,6,1963,5,1.1,0,23,17.18,13.1,71.5,1.9333
6,6,1963,2.8,3.3,0,24.7,18.62,13.8,59.5,1.2333
7,6,1963,4.2,3.8,0,23.8,18.58,14.1,49.75,1.5
8,6,1963,6.5,1.6,0,23.8,17.18,8.5,66,2.6667
9,6,1963,4.8,3.8,0,26,19.38,12.9,57.5,1.3333
