2012, 2, 11, '21.945833', '30.1', '22.5', '2.183333', ''
2012, 2, 12, '21.595833', '29.8', '21.6', '1.85', ''
2012, 2, 13, '21.858333', '30', '22.4', '1.645833', ''
2012, 2, 14, '22.591667', '30.4', '22.1', '1.995833', ''
2012, 2, 15, '21.925', '28.5', '20.8', '1.208333', ''
2012, 2, 16, '21.6375', '28.7', '21.4', '1.345833', ''
2012, 2, 17, '21.833333', '29.4', '22.3', '1.916667', ''
2012, 2, 18, '21.8625', '31.5', '21.8', '1.483333', ''
2012, 2, 19, '22.4875', '32.1', '22.1', '1.358333', ''
2012, 2, 20, '22.429167', '29.5', '21.8', '1.566667', ''
2012, 2, 21, '21.983333', '31.3', '21.4', '1.683333', ''
2012, 2, 22, '21.783333', '32.5', '20.5', '1.904167', ''
2012, 2, 23, '22.425', '30', '22', '1.804167', ''
2012, 2, 24, '22.275', '31.6', '22', '2.0875', ''
2012, 2, 25, '22.2625', '30.6', '22.5', '1.675', ''
2012, 2, 26, '22.404167', '30.3', '22.6', '1.520833', ''
2012, 2, 27, '22.566667', '30.5', '22.5', '1.65', ''
2012, 2, 28, '22.220833', '29.7', '22.4', '1.6375', ''
2012, 2, 29, '22.216667', '32.2', '21.7', '1.870833', ''
2012, 3, 1, '22.3375', '31.1', '22.1', '1.916667', ''
2012, 3, 2, '22.345833', '31.4', '21.6', '1.670833', ''
2012, 3, 3, '22.058333', '31.3', '21.7', '1.854167', ''
2012, 3, 4, '22.0125', '31.5', '22.3', '2.183333', ''
2012, 3, 5, '22.475', '30.7', '21.7', '2.191667', ''
2012, 3, 6, '21.829167', '31.8', '21.3', '1.9', ''
2012, 3, 7, '21.8125', '31.5', '21.7', '1.654167', ''
2012, 3, 8, '21.925', '30.1', '21.6', '1.995833', ''
2012, 3, 9, '22.033333', '31.2', '21.9', '1.770833', ''
2012, 3, 10, '22.033333', '30.4', '21.1', '2.175', ''
2012, 3, 11, '22.795833', '31.8', '21.7', '1.616667', ''
2012, 3, 12, '23.195833', '31.3', '22.9', '1.658333', ''
2012, 3, 13, '22.9625', '30.1', '23.5', '1.5125', ''
2012, 3, 14, '22.191667', '29.6', '21.6', '1.875', ''
2012, 3, 15, '22.3125', '31.1', '21.5', '1.641667', ''
2012, 3, 16, '22.958333', '32', '23.1', '2.220833', ''
2012, 3, 17, '22.108333', '33', '22', '2.466667', ''
2012, 3, 18, '22.675', '32.4', '21.5', '1.770833', ''
2012, 3, 19, '22.7875', '30.4', '22.6', '1.45', ''
2012, 3, 20, '22.541667', '31.5', '21.8', '1.533333', ''
2012, 3, 21, '22.45', '30.9', '22', '1.35', ''
2012, 3, 22, '22.65', '31.9', '22', '1.579167', ''
2012, 3, 23, '22.795833', '32.2', '22.7', '1.85', ''
2012, 3, 24, '22.495833', '32.4', '22.4', '1.7', ''
2012, 3, 25, '22.841667', '31.8', '22.4', '1.55', ''
2012, 3, 26, '22.991667', '31.7', '22.6', '1.595833', ''
2012, 3, 27, '22.808333', '31.7', '22.4', '1.779167', ''
2012, 3, 28, '22.466667', '26.3', '22.7', '1.895833', ''
2012, 3, 29, '22.383333', '31.4', '21.4', '1.925', ''
2012, 3, 30, '23.045833', '32.1', '22.6', '1.804167', ''
2012, 3, 31, '22.85', '31.9', '23', '1.745833', ''
2012, 4, 1, '22.929167', '32.6', '23.2', '1.9375', ''
2012, 4, 2, '23.104167', '32.9', '22.5', '2.025', ''
2012, 4, 3, '23.345833', '31.9', '23.3', '1.995833', ''
2012, 4, 4, '22.770833', '32.4', '22.5', '2.15', ''
2012, 4, 5, '22.754167', '32.2', '23.1', '1.895833', ''
2012, 4, 6, '23.025', '32', '22.7', '2.308333', ''
2012, 4, 7, '22.941667', '32.5', '22.6', '1.941667', ''
2012, 4, 8, '22.4625', '32.2', '22.7', '1.904167', ''
2012, 4, 9, '21.991667', '28.3', '21', '1.829167', ''
2012, 4, 10, '22.995833', '31.7', '22.5', '1.55', ''
2012, 4, 11, '23.016667', '31.5', '22.4', '1.641667', ''
2012, 4, 12, '22.8875', '31.6', '22.1', '1.8625', ''
2012, 4, 13, '22.404167', '32.7', '22', '1.691667', ''
2012, 4, 14, '23.070833', '31.5', '22.3', '1.65', ''
