['1962', '2', '1', '21', '0', '86', '28.2', '57', '18.5', '20', '0', '89', '28.5', '52', '16.1', '20', '0', '88', '29.2', '52', '16.4']
['1962', '2', '2', '21', '.8', '86', '26', '57', '19', '20', '1.3', '89', '24.5', '52', '19', '20', '4.6', '88', '26.8', '52', '18.6']
['1962', '2', '3', '21', '.8', '86', '27.8', '57', '17.6', '20', '5.4', '89', '28.4', '52', '16.1', '20', '9.1', '88', '27.6', '52', '15.8']
['1962', '2', '4', '21', '0', '86', '26.4', '57', '19', '20', '0', '89', '27.7', '52', '17.7', '20', '0', '88', '26.3', '52', '17.9']
['1962', '2', '5', '21', '65', '86', '24.8', '57', '20', '20', '7.3', '89', '25.1', '52', '19.5', '20', '16.1', '88', '25', '52', '19.2']
['1962', '2', '6', '21', '14.2', '86', '25', '57', '18.8', '20', '9.2', '89', '26.1', '52', '19.6', '20', '6', '88', '26.1', '52', '19']
['1962', '2', '7', '21', '70.4', '86', '26.2', '57', '18.2', '20', '30.6', '89', '27.2', '52', '18.9', '20', '38.2', '88', '26.7', '52', '18.4']
['1962', '2', '10', '21', '36', '86', '29.1', '57', '18.4', '20', '17.9', '89', '29.3', '52', '19.2', '20', '6.5', '88', '29.6', '52', '19.9']
['1962', '2', '11', '21', '7', '86', '24.6', '57', '19', '20', '3', '89', '26.3', '52', '19.7', '20', '3.7', '88', '25.5', '52', '19.4']
['1962', '2', '13', '21', '0', '86', '27.6', '57', '19.2', '20', '0', '89', '30.1', '52', '17.9', '20', '9.7', '88', '29.2', '52', '17.6']
['1962', '2', '14', '21', '0', '86', '28.5', '57', '20.4', '20', '5.6', '89', '29.9', '52', '19.3', '20', '.1', '88', '29.9', '52', '18.4']
['1962', '2', '15', '21', '1', '86', '27.8', '57', '20.6', '20', '1.2', '89', '28.7', '52', '18.5', '20', '.5', '88', '29', '52', '19.4']
['1962', '2', '16', '21', '0', '86', '28.2', '57', '18.4', '20', '0', '89', '29.8', '52', '17.5', '20', '1.3', '88', '28.6', '52', '17.4']
['1962', '2', '17', '21', '0', '86', '31', '57', '20.2', '20', '0', '89', '31.9', '52', '17.6', '20', '0', '88', '32.7', '52', '17.5']
['1962', '2', '18', '21', '0', '86', '30.6', '57', '19.2', '20', '.1', '89', '31.4', '52', '17', '20', '0', '88', '31.3', '52', '17.2']
['1962', '2', '19', '21', '1.4', '86', '29.7', '57', '20.2', '20', '0', '89', '30.1', '52', '19.7', '20', '.5', '88', '29.4', '52', '18.9']
['1962', '2', '20', '21', '16.6', '86', '26.6', '57', '18.4', '20', '7', '89', '30', '52', '18.6', '20', '71.4', '88', '27.4', '52', '18']
['1962', '2', '21', '21', '0', '86', '29.8', '57', '19.4', '20', '0', '89', '30.8', '52', '17.3', '20', '0', '88', '30.1', '52', '17.5']
['1962', '2', '22', '21', '0', '86', '29.4', '57', '19.8', '20', '0', '89', '30.3', '52', '19.2', '20', '0', '88', '29.2', '52', '19.2']
['1962', '2', '23', '21', '16', '86', '27.6', '57', '18', '20', '20.7', '89', '29.4', '52', '19', '20', '34.5', '88', '28.1', '52', '18.3']
['1962', '2', '24', '21', '.3', '86', '28', '57', '20', '20', '4.2', '89', '29.2', '52', '19.6', '20', '.5', '88', '29', '52', '19.6']
['1962', '2', '25', '21', '15.2', '86', '28', '57', '19', '20', '2.5', '89', '29.1', '52', '18.8', '20', '13.1', '88', '28.6', '52', '19.1']
['1962', '2', '26', '21', '3.6', '86', '24.2', '57', '17.8', '20', '0', '89', '26.2', '52', '18.4', '20', '1.2', '88', '24.6', '52', '18']
['1962', '2', '27', '21', '0', '86', '23.6', '57', '18.8', '20', '0', '89', '27.3', '52', '18.1', '20', '1.2', '88', '26', '52', '17.2']
['1962', '2', '28', '21', '0', '86', '25.6', '57', '18.6', '20', '0', '89', '28.5', '52', '16.7', '20', '0', '88', '26.9', '52', '15.8']
['1962', '3', '1', '20', '0', '84', '25.9', '55', '17.2', '20', '0', '86', '28.7', '51', '16.8', '20', '0', '86', '26.6', '51', '15.6']
['1962', '3', '2', '20', '0', '84', '26.3', '55', '18.2', '20', '0', '86', '28', '51', '15', '20', '0', '86', '26.4', '51', '15.5']
['1962', '3', '3', '20', '20.4', '84', '22.6', '55', '18', '20', '21.3', '86', '25.3', '51', '19.1', '20', '19.7', '86', '24', '51', '18.4']
['1962', '3', '4', '20', '3.4', '84', '27.2', '55', '18.8', '20', '1.2', '86', '29.8', '51', '18.6', '20', '23.5', '86', '27.9', '51', '17.7']
['1962', '3', '5', '20', '4', '84', '24', '55', '18.2', '20', '30', '86', '27.3', '51', '18.9', '20', '3.5', '86', '25', '51', '18.2']
['1962', '3', '6', '20', '13.5', '84', '26.2', '55', '18.2', '20', '20.2', '86', '27.8', '51', '18.8', '20', '6.6', '86', '26', '51', '18.3']
['1962', '3', '7', '20', '18', '84', '29.5', '55', '19.4', '20', '10.2', '86', '30.8', '51', '19.5', '20', '12.7', '86', '31', '51', '19.5']
['1962', '3', '8', '20', '0', '84', '29.6', '55', '19.4', '20', '16', '86', '31', '51', '17.5', '20', '0', '86', '29.4', '51', '16.9']
['1962', '3', '9', '20', '0', '84', '27', '55', '19.4', '20', '0', '86', '30.2', '51', '17.3', '20', '0', '86', '28', '51', '16.2']
['1962', '3', '10', '20', '0', '84', '28.2', '55', '18.2', '20', '0', '86', '29.4', '51', '15.2', '20', '0', '86', '28.6', '51', '14.6']
['1962', '3', '11', '20', '0', '84', '27.3', '55', '19.6', '20', '0', '86', '28.2', '51', '17.7', '20', '0', '86', '27.4', '51', '18']
['1962', '3', '12', '20', '0', '84', '26.5', '55', '20', '20', '1.2', '86', '27.3', '51', '20', '20', '0', '86', '26.5', '51', '20.4']
['1962', '3', '13', '20', '.4', '84', '26.4', '55', '19.2', '20', '.4', '86', '28.2', '51', '16.4', '20', '1.2', '86', '27.2', '51', '18.8']
['1962', '3', '14', '20', '0', '84', '26.9', '55', '18.1', '20', '1.8', '86', '27.5', '51', '15.6', '20', '0', '86', '27.7', '51', '19.2']
['1962', '3', '15', '20', '0', '84', '27.2', '55', '18.2', '20', '0', '86', '28.8', '51', '15.6', '20', '0', '86', '28', '51', '17.2']
['1962', '3', '16', '20', '0', '84', '26.1', '55', '18.8', '20', '0', '86', '28.6', '51', '18.2', '20', '0', '86', '27.8', '51', '20']
['1962', '3', '17', '20', '0', '84', '27', '55', '19.4', '20', '3.2', '86', '30.1', '51', '18', '20', '0', '86', '27.8', '51', '20']
['1962', '3', '18', '20', '0', '84', '26.7', '55', '18.4', '20', '0', '86', '29.2', '51', '14.5', '20', '0', '86', '27.6', '51', '17.4']
['1962', '3', '19', '20', '0', '84', '28.1', '55', '19', '20', '0', '86', '30', '51', '17.1', '20', '0', '86', '29.2', '51', '17.4']
['1962', '3', '21', '20', '1.6', '84', '28.2', '55', '20', '20', '1.3', '86', '28.5', '51', '15.6', '20', '37.1', '86', '28', '51', '19.4']
['1962', '3', '22', '20', '1', '84', '28.6', '55', '18', '20', '1.1', '86', '30', '51', '17.1', '20', '0', '86', '29.8', '51', '17']
['1962', '3', '23', '20', '35.4', '84', '28.8', '55', '17.4', '20', '3', '86', '31.5', '51', '16.1', '20', '2.9', '86', '30', '51', '15.6']
['1962', '3', '24', '20', '0', '84', '29.4', '55', '20', '20', '0', '86', '29.8', '51', '17.4', '20', '0', '86', '28.4', '51', '17.8']
